"pol"	"place"	"time1"	"time2"	"PolPop_CC1"	"PolTerr_CC2"	"CapPol_CC3"	"HComplex_CC4_agg"	"Gov_CC5_agg"	"Infrastr_CC6_agg"	"InfoSys_CC7_agg"	"Texts_CC8_agg"	"Money_CC9_agg"
"Kachi Plain -145 -96"	"Kachi Plain"	-145	-96	60000	105226	170408.662280702	3.4967008797654	0.865852761014051	0.911409142616905	0.815221120849548	0.732547408366191	0.807971823240166
"Kachi Plain -1800 -1301"	"Kachi Plain"	-1800	-1301	14965144.9772727	1720265.20347003	1125	1	0.138580033741324	0.413082657797068	0.256270447110142	0	0.5
"Kachi Plain -2100 -1801"	"Kachi Plain"	-2100	-1801	14965144.9772727	135000	1e+05	1.875	0.521675563784705	0.831499023945463	0.708738677804179	0.642525218529877	0.436666666666667
"Kachi Plain -2500 -2101"	"Kachi Plain"	-2500	-2101	14965144.9772727	135000	1e+05	1.875	0.521675563784705	0.831499023945463	0.708738677804179	0.642525218529877	0.436666666666667
"Kachi Plain -303 -194"	"Kachi Plain"	-303	-194	1.8e+07	4e+06	50000	5.25	0.763504611330698	1	0.827699018538713	0.900678294573643	0.77
"Kachi Plain -3200 -2501"	"Kachi Plain"	-3200	-2501	14965144.9772727	1720265.20347003	2850	1.375	0.0909090909090909	0.762986221762655	0.248781967847469	0	0.462138489906832
"Kachi Plain -4000 -3201"	"Kachi Plain"	-4000	-3201	14965144.9772727	1720265.20347003	2450	1.25	0.0909090909090909	0.753849847132285	0.248781967847469	0	0.462138489906832
"Kachi Plain -550 -329"	"Kachi Plain"	-550	-329	2.6e+07	4e+06	2e+05	5.875	1	1	0.857142857142857	1	0.77
"Kachi Plain -5500 -4001"	"Kachi Plain"	-5500	-4001	14965144.9772727	1720265.20347003	500	1.125	0	0.774018530667305	0.248781967847469	0	0.462138489906832
"Kachi Plain -7500 -5501"	"Kachi Plain"	-7500	-5501	14965144.9772727	1720265.20347003	500	1.125	0	0.662907419556194	0.248781967847469	0	0.462138489906832
"Kachi Plain -95 21"	"Kachi Plain"	-95	21	75000	280000	450000	4.75	0.64466561899773	1	0.82021053927604	1	0.691810699588477
"Kachi Plain 1193 1206"	"Kachi Plain"	1193	1206	14965144.9772727	880000	170408.662280702	3.25	0.865852761014051	0.873685069797968	0.827699018538713	1	0.66644918949531
"Kachi Plain 1207 1339"	"Kachi Plain"	1207	1339	14965144.9772727	3e+06	3e+05	7	0.925236925236925	1	0.815221120849548	0.964285714285714	0.966796875
"Kachi Plain 1340 1519"	"Kachi Plain"	1340	1519	1e+06	140914	170408.662280702	2.75	0.520982305342727	0.844631480500669	0.783835839464266	0.864964008859358	0.807971823240166
"Kachi Plain 1526 1740"	"Kachi Plain"	1526	1740	1.3e+08	3850000	4e+05	4.5	0.980371900826446	0.97983131646498	0.827699018538713	0.918863179074447	0.800130208333333
"Kachi Plain 1748 1826"	"Kachi Plain"	1748	1826	14965144.9772727	489500	170408.662280702	3.5	0.363636363636364	0.433412135539795	0.82021053927604	0.954005934718101	0.966796875
"Kachi Plain 251 495"	"Kachi Plain"	251	495	5e+06	2900000	1e+05	6	0.545454545454545	0.988967691095351	0.718203347879684	0.921541461412151	0.732138489906832
"Kachi Plain 30 250"	"Kachi Plain"	30	250	13750000	2250000	1e+05	4.25	0.721100706510686	0.867568675686757	0.827699018538713	0.900678294573643	0.77
"Kachi Plain 496 531"	"Kachi Plain"	496	531	26500000	2e+06	170408.662280702	3	0.655822802770654	0.863154571931006	0.849654377880184	1	0.77
"Kachi Plain 532 641"	"Kachi Plain"	532	641	8900000	3050000	4e+05	6.125	0.727272727272727	0.931734018190036	0.82021053927604	1	0.736796875
"Kachi Plain 670 750"	"Kachi Plain"	670	750	2.8e+07	9e+06	3e+05	4.125	0.636363636363636	1	0.857142857142857	1	0.77
"Kachi Plain 750 861"	"Kachi Plain"	750	861	2.1e+07	1e+06	3e+05	5	0.636363636363636	1	0.857142857142857	1	0.77
"Kachi Plain 862 1192"	"Kachi Plain"	862	1192	1e+06	140914	170408.662280702	2.75	0.636376939362002	0.83359917159602	0.783835839464266	0.855255759362376	0.807971823240166
"Kansai -1200 -200"	"Kansai"	-1200	-200	700	1720265.20347003	450	3.02469632636556	0.0712809917355372	0.520524069759595	0.28016724923275	0	0.487282522828643
"Kansai -13600 -9200"	"Kansai"	-13600	-9200	14965144.9772727	1720265.20347003	170408.662280702	3.39639720613096	0	0.343915488489587	0.28016724923275	0	0.487282522828643
"Kansai -2500 -1200"	"Kansai"	-2500	-1200	700	1720265.20347003	450	3.14969632636556	0	0.520524069759595	0.28016724923275	0	0.487282522828643
"Kansai -300 249"	"Kansai"	-300	249	2250	1720265.20347003	1500	1.75	0.253099173553719	0.65847891001974	0.677353396418897	0	0.570130208333333
"Kansai -3500 -2500"	"Kansai"	-3500	-2500	14965144.9772727	1720265.20347003	450	3.64639720613096	0	0.520524069759595	0.309611087836894	0	0.487282522828643
"Kansai -5300 -3500"	"Kansai"	-5300	-3500	700	1720265.20347003	450	3.52139720613096	0	0.520524069759595	0.28016724923275	0	0.487282522828643
"Kansai -9200 -5300"	"Kansai"	-9200	-5300	14965144.9772727	1720265.20347003	170408.662280702	3.52139720613096	0	0.509491760854945	0.28016724923275	0	0.487282522828643
"Kansai 1185 1333"	"Kansai"	1185	1333	5900000	295000	150000	4.5	0.727272727272727	0.963683527885863	0.963067682133183	0.829577464788732	0.603333333333333
"Kansai 1336 1466"	"Kansai"	1336	1466	12500000	295000	40000	5	0.64752082013656	1	0.963067682133183	0.875	0.603333333333333
"Kansai 1467 1567"	"Kansai"	1467	1567	1.5e+07	15000	40000	4.375	0.465702638318378	0.799928596746327	0.963067682133183	0.719239504244163	0.671107574588477
"Kansai 1568 1602"	"Kansai"	1568	1602	1.7e+07	295000	3e+05	4.375	0.695191762968793	1	0.963067682133183	0.875	0.77
"Kansai 1603 1868"	"Kansai"	1603	1868	2.2e+07	295000	570361	5.25	0.909090909090909	1	0.970556161395856	1	0.77
"Kansai 250 537"	"Kansai"	250	537	250000	125000	170408.662280702	3.125	0.617436715508921	0.88596418519971	0.82021053927604	0.704005934718101	0.570130208333333
"Kansai 538 710"	"Kansai"	538	710	2250000	125000	170408.662280702	4.125	0.866687004270897	0.932321741238486	0.776347360201594	0.830124860918984	0.736796875
"Kansai 794 1184"	"Kansai"	794	1184	5150000	275000	150000	3.875	0.866687004270897	0.888888888888889	0.963067682133183	1	0.77
"Kapuasi Basin 1650 1841"	"Kapuasi Basin"	1650	1841	262.5	1720265.20347003	262.5	1.25	0	0	0.317099567099567	0	0.166666666666667
"Kapuasi Basin 1842 1987"	"Kapuasi Basin"	1842	1987	14965144.9772727	124450	262.5	2	0.363636363636364	0.111111111111111	0.745670995670996	0.25	0.5
"Konya Plain -1180 -901"	"Konya Plain"	-1180	-901	120000	500	15000	3.375	0.7333222216509	0.931823566151924	0.680299781197258	0.642525218529877	0.58918054618893
"Konya Plain -129 -95"	"Konya Plain"	-129	-95	350000	130000	170408.662280702	4	0.555777485970623	0.816502765033458	0.827699018538713	0.854684229291744	0.658607574588477
"Konya Plain -1344 -1181"	"Konya Plain"	-1344	-1181	1650000	325000	17500	4.5	0.818181818181818	0.777777777777778	0.714285714285714	0.811900411548453	0.333333333333333
"Konya Plain -1500 -1400"	"Konya Plain"	-1500	-1400	350000	62500	14500	4	0.710136821928852	0.852819237147595	0.800940287602085	0.766477876337186	0.333333333333333
"Konya Plain -1650 -1501"	"Konya Plain"	-1650	-1501	1200000	125000	12500	3.875	0.801045912837943	0.841786928242946	0.827699018538713	0.812471941619085	0.333333333333333
"Konya Plain -2000 -1700"	"Konya Plain"	-2000	-1700	75000	20000	10000	2.875	0.521675563784705	0.895507094037787	0.800940287602085	0.678239504244163	0.627042056282098
"Konya Plain -281 -190"	"Konya Plain"	-281	-190	1.6e+07	1387500	75000	5.125	0.768771649342919	0.978679786797868	0.82021053927604	0.913577464788732	0.749296875
"Konya Plain -300 -282"	"Konya Plain"	-300	-282	2500000	420000	170408.662280702	3.75	0.731423647026764	0.963930348258706	0.827699018538713	1	0.736796875
"Konya Plain -3000 -2001"	"Konya Plain"	-3000	-2001	14965144.9772727	1720265.20347003	170408.662280702	2.4967008797654	0.557487311269444	0.736166266654002	0.256270447110142	0	0.627042056282098
"Konya Plain -31 283"	"Konya Plain"	-31	283	6e+07	4500000	1050000	7.125	0.636363636363636	1	0.827699018538713	1	0.833333333333333
"Konya Plain -5000 -3001"	"Konya Plain"	-5000	-3001	14965144.9772727	90	3150	2.25	0.432763152168139	0.382213806888767	0.248781967847469	0	0.593838931282098
"Konya Plain -546 -334"	"Konya Plain"	-546	-334	2.6e+07	4e+06	2e+05	5.875	1	1	0.857142857142857	1	0.77
"Konya Plain -6000 -5501"	"Konya Plain"	-6000	-5501	3250	1720265.20347003	3150	1.5	0.0712809917355372	0.535923226928181	0	0	0.295471823240166
"Konya Plain -6600 -6001"	"Konya Plain"	-6600	-6001	3250	1720265.20347003	5750	1	0.401008732377072	0.356597502147911	0.166753944979751	0	0.398805156573499
"Konya Plain -670 -547"	"Konya Plain"	-670	-547	14965144.9772727	250000	15000	4.375	0.703493745602887	0.844063025386759	0.82021053927604	0.957255747126437	0.603333333333333
"Konya Plain -7000 -6601"	"Konya Plain"	-7000	-6601	14965144.9772727	1720265.20347003	170408.662280702	1	0.401008732377072	0.265815868779526	0.28016724923275	0	0.133463541666667
"Konya Plain -836 -696"	"Konya Plain"	-836	-696	1250000	1e+05	17500	3.375	0.580672710991492	0.87517761629506	0.827699018538713	0.76466203945543	0.593838931282098
"Konya Plain -900 -837"	"Konya Plain"	-900	-837	14965144.9772727	5000	170408.662280702	3.2467008797654	0.580672710991492	0.790792222115956	0.793451808339412	0.642525218529877	0.403463541666667
