"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"dim1"	"dim2"	"dim3"
"Finger Lakes 1714 1848"	"Finger Lakes"	1714	1848	12000	1e+05	600	6576506.57777778	0.610219746303565	-0.615969378224202	0.496074443072619
"Galilee -103 -62"	"Galilee"	-103	-62	14965144.9772727	7500	55000	1e+05	-0.730456455340851	0.216485860140581	0.868658694693212
"Galilee -1030 -722"	"Galilee"	-1030	-722	220000	11500	17500	15000	-0.789475537222318	-0.262534897374151	0.534496220457641
"Galilee -1180 -1031"	"Galilee"	-1180	-1031	35000	9000	50000	24000	-0.807825747225306	-0.0276246992756286	0.32297443386748
"Galilee -200 -104"	"Galilee"	-200	-104	1.6e+07	1387500	75000	4750000	-0.774798575439228	0.566160530205948	0.904946779844702
"Galilee -2000 -1181"	"Galilee"	-2000	-1181	32500	1700	35000	3e+05	-0.6469455096706	-0.237051581481268	0.0448600129917114
"Galilee -300 -199"	"Galilee"	-300	-199	7e+06	1e+06	1e+05	3750000	-0.868306054742796	0.706706831170868	0.51926548197616
"Galilee -538 -331"	"Galilee"	-538	-331	2.6e+07	4e+06	2e+05	2750000	-0.897402934374959	0.630828461732502	0.756195320413589
"Galilee -721 -539"	"Galilee"	-721	-539	6e+06	1400000	10000	6576506.57777778	-0.851254943884183	-0.00375263624759659	0.0862770960629475
"Garo Hills 1775 1867"	"Garo Hills"	1775	1867	2500	1720265.20347003	2500	4771577	0.852528420294403	-0.790804867934659	-0.0284500714070479
"Garo Hills 1868 1956"	"Garo Hills"	1868	1956	138000	8000	8000	4771577	0.616422582284693	-0.532725337344031	0.453330528642549
"Ghanaian Coast 1501 1701"	"Ghanaian Coast"	1501	1701	14965144.9772727	1720265.20347003	170408.662280702	5112903	0.433126959054039	-0.233752767336909	-0.122422152170053
