"","pol","place","time1","time2","Polity.Population","Polity.territory","Population.of.the.largest.settlement","scale.of.supracultural.interaction","PC$scores[, 1]","PC$scores[, 2]","PC$scores[, 3]","PC$scores[, 4]","PC$scores[, 5]"
"114","Kachi Plain -5500 -4001","Kachi Plain",-5500,-4001,14965144.9772727,1720265.20347003,500,6576506.57777778,-8.03601063850385,0.228102100221097,1.12046218705539,0.150353997845961,-0.734940493060442
"115","Kachi Plain -7500 -5501","Kachi Plain",-7500,-5501,14965144.9772727,1720265.20347003,500,6576506.57777778,-8.15978360743763,0.313019317669006,1.17818509103482,0.0563697992361098,-0.606920077001219
"116","Kachi Plain -95 21","Kachi Plain",-95,21,75000,280000,450000,3750000,2.62670615743378,-0.703054152750577,-0.201580369931508,0.905229560437055,-0.34529061272683
"117","Kachi Plain 1193 1206","Kachi Plain",1193,1206,14965144.9772727,880000,170408.662280702,6576506.57777778,0.446395150397467,-3.15813979744734,-1.97909823445324,1.50636373070965,1.55353861220988
"118","Kachi Plain 1207 1339","Kachi Plain",1207,1339,14965144.9772727,3e+06,3e+05,6576506.57777778,6.27152521160474,1.42229221442133,-0.760857854641292,0.699120915487041,0.658470102221859
"119","Kachi Plain 1340 1519","Kachi Plain",1340,1519,1e+06,140914,170408.662280702,6576506.57777778,-0.477196527811382,-4.05319671620051,-2.19474554057508,0.106722530121435,0.717232460445488
"120","Kachi Plain 1526 1740","Kachi Plain",1526,1740,1.3e+08,3850000,4e+05,6576506.57777778,3.35084257644208,-1.69917309563868,2.05508430106408,2.15913232875475,0.392576385715432
"121","Kachi Plain 1748 1826","Kachi Plain",1748,1826,14965144.9772727,489500,170408.662280702,6576506.57777778,-0.435604367703931,-1.00679739531842,0.655844564621054,2.5772189958166,-0.984121842124726
"122","Kachi Plain 251 495","Kachi Plain",251,495,5e+06,2900000,1e+05,3250000,4.73903542509642,0.642327258403402,0.0303539446854978,-0.156093872872145,0.518868730492499
"123","Kachi Plain 30 250","Kachi Plain",30,250,13750000,2250000,1e+05,4e+06,1.62775634254851,-2.118124464892,-2.55713521363312,0.704366296430396,0.531912583940153
"124","Kachi Plain 496 531","Kachi Plain",496,531,26500000,2e+06,170408.662280702,7750000,-0.0608945383584369,-3.21262464448813,-2.05337056636761,1.52691822799002,1.39781963075463
"125","Kachi Plain 532 641","Kachi Plain",532,641,8900000,3050000,4e+05,3250000,5.11892590221608,0.546688642431796,-0.125890861859772,-0.0989777040080678,0.39255977999855
"126","Kachi Plain 670 750","Kachi Plain",670,750,2.8e+07,9e+06,3e+05,9e+06,2.0888842389612,-3.39313985030626,1.58225391876277,0.819244411038407,-1.5814831381387
"127","Kachi Plain 750 861","Kachi Plain",750,861,2.1e+07,1e+06,3e+05,1.1e+07,3.55050560834718,-1.29192929901036,1.78584713283605,0.97695973785381,0.372572471754353
"128","Kachi Plain 862 1192","Kachi Plain",862,1192,1e+06,140914,170408.662280702,6576506.57777778,-0.473232753657646,-4.12763266793205,-2.23349567240117,0.113696456733668,0.754160801216788
"129","Kansai -1200 -200","Kansai",-1200,-200,700,1720265.20347003,450,6576506.57777778,-4.71767044515134,2.73667200960499,0.847740955826464,1.07473536522028,1.62099417773449
"130","Kansai -13600 -9200","Kansai",-13600,-9200,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-4.67132514426586,3.59712838384658,0.444390608779463,-0.169799827763655,0.948505098454154
"131","Kansai -2500 -1200","Kansai",-2500,-1200,700,1720265.20347003,450,6576506.57777778,-4.67750348595523,2.85783953773764,1.10489868112358,0.914455913949699,1.86084517442901
"132","Kansai -300 249","Kansai",-300,249,2250,1720265.20347003,1500,78000,-6.16742206121473,0.0147391178518926,-0.234201543040687,0.877926431439268,-0.161845024294633
"133","Kansai -3500 -2500","Kansai",-3500,-2500,14965144.9772727,1720265.20347003,450,6576506.57777778,-4.24754706594825,3.60985002897387,0.433780485880923,-0.195119504505598,0.873651347405036
"134","Kansai -5300 -3500","Kansai",-5300,-3500,700,1720265.20347003,450,6576506.57777778,-4.46021374573728,3.65608928647227,0.418579604675889,-0.218581334427418,0.871887642939457
