"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"ML11"	"ML6"	"ML1"	"ML4"	"ML2"	"ML3"	"ML7"	"ML5"	"ML9"	"ML12"	"ML8"	"ML10"
"Deccan -2700 -1201"	"Deccan"	-2700	-1201	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.418077744616383	-0.929272734316226	-1.74485747024619	-2.08202483315296	0.0288853135846643	-0.0986837590136289	-0.419277977234551	0.889745728954803	1.74887016018901	0.684528019149126	0.545920537956242	-0.120384365642988
"Deccan -300 -206"	"Deccan"	-300	-206	1.8e+07	4e+06	50000	1700000	0.806955353603522	0.889105212005874	0.642962197195517	0.678394191246877	0.722561236641302	0.624480865817443	-0.312691806614787	0.118627657426602	0.00317209038258584	0.219785960111999	-0.470830946392423	-2.08766402625966
"Deccan 1192 1253"	"Deccan"	1192	1253	14965144.9772727	150000	170408.662280702	6576506.57777778	0.750336445783297	0.332970334507622	0.848358044320403	0.482359967155982	1.03042529721176	0.358437634913908	-0.125992228712745	-0.943931306832026	-1.04835857372045	0.750474394562821	-0.253254222081703	-2.41127569684011
"Deccan 1280 1310"	"Deccan"	1280	1310	14965144.9772727	20000	170408.662280702	6576506.57777778	0.692565859690665	0.188929067560642	0.757600312472549	0.284402073997562	0.944351525641803	0.376272295625679	-0.217527018096353	-1.04888031337872	-0.200737571638268	0.853428541379302	-0.379920071991789	-2.1899637491571
"Deccan 1337 1646"	"Deccan"	1337	1646	2.5e+07	360000	175000	6576506.57777778	0.733478402828591	0.775130011691425	0.586256796618499	0.200974756638081	0.750104136031903	0.55140488244505	2.01426077157241	-1.0628177238932	0.0156502193929673	0.480076175440704	-0.428515703503735	-2.17668667256545
"Deccan 1687 1720"	"Deccan"	1687	1720	1.3e+08	3850000	4e+05	6576506.57777778	1.23916964647098	1.13904111085359	0.44436187889443	0.334987515917799	0.0445354948602331	0.865077227425892	2.38001814867912	1.4037978935274	0.0281065055171378	0.419874051170239	0.173476248899459	0.644650612109799
"Deccan 1780 1840"	"Deccan"	1780	1840	107500000	22700000	3700000	6576506.57777778	0.737571549513318	1.06691161565565	0.708717962422883	0.0438579612728763	0.143005193036673	0.825583381072087	2.9967074544832	-0.660738261857205	0.125517754464236	0.17435833922912	0.126488658269557	0.619485090075341
"Deccan 286 335"	"Deccan"	286	335	6500000	950000	170408.662280702	6576506.57777778	0.839874615243103	0.143386024700879	0.885315588747764	0.617586834697063	0.946249164942529	0.449031388440567	-0.429373809921168	-0.8861814081818	-0.331710707491874	0.545751253675975	-0.605610654385936	-2.24542122862832
"Deccan 451 540"	"Deccan"	451	540	725000	75000	170408.662280702	6576506.57777778	0.708141546627418	0.14395143660672	0.589150788020654	0.529235844822394	0.972357334454813	0.468819961204412	-0.409860254957	-0.949411690280755	0.0889506478853041	0.318150366274184	-0.425192541525173	-2.28413067955496
"Deccan 541 756"	"Deccan"	541	756	3525000	750000	70000	6576506.57777778	0.778120916738793	0.51575617477101	0.582940462821087	0.536410111021963	0.894312385287718	0.456014112974823	-0.176619864799713	-0.898254996548979	-0.206733429417592	0.574245848023143	0.020840356163301	-2.3208345736803
"Deccan 757 973"	"Deccan"	757	973	5500000	6e+05	1e+05	6576506.57777778	0.659393889630663	0.597993019973115	0.374750323422332	0.385635283774628	0.788745532918111	0.566417127733511	-0.201413339380385	-1.06547554492516	0.250458743900444	0.249760459806011	-0.0322080314622057	-2.20014830377329
"Deccan 974 1055"	"Deccan"	974	1055	7750000	3800000	87500	6576506.57777778	0.697172368413316	0.324759940315304	0.784875086750706	0.458364713173392	0.980116354939683	0.437334264850282	-0.20566755876184	-0.934852751780644	-0.471571563226898	0.458811852212338	-0.0854339021008436	-2.37681674574592
"Finger Lakes 1300 1565"	"Finger Lakes"	1300	1565	45000	73218	1200	6576506.57777778	-0.463048728141725	-0.0706159756186287	-0.0247040275729268	-0.49473063790907	-0.0356640672492051	0.151713756068654	-0.0225506109732066	0.302512549279806	0.132403760230091	-0.233784505050266	0.180619631893581	0.0429338635503394
