"pol"	"place"	"time1"	"time2"	"Scale_agg"	"HComplex_agg"	"Gov_agg"	"Law_agg"	"Infrastr_agg"	"Money_agg"	"Info_agg"	"MilTech_agg"	"Norms_agg"	"MoralGods_agg"
"Galilee -2000 -1181"	"Galilee"	-2000	-1181	23066.6666666667	4.77469632636556	0.704789075264206	0.53068225537554	0.777777777777778	0.333333333333333	0.384905771438279	0.584135594700293	0.4	0.705725125879477
"Galilee -300 -199"	"Galilee"	-300	-199	2700000	5.5	1	0.75	1	0.833333333333333	0.941176470588235	0.710522251910122	0.6	1
"Galilee -538 -331"	"Galilee"	-538	-331	10066666.6666667	5.875	1	1	1	0.77	0.895424836601307	0.786247665187555	0.6	0.9
"Galilee -721 -539"	"Galilee"	-721	-539	2470000	4.375	0.714285714285714	0	0.912153057703466	0.436666666666667	0.778915636873105	0.668185685463244	0.482994207511569	0.7
"Garo Hills 1775 1867"	"Garo Hills"	1775	1867	575088.401156677	1.5	0	0	0	0.27	0.07174688057041	0.245159315350147	0.989010989010989	0
"Garo Hills 1868 1956"	"Garo Hills"	1868	1956	51333.3333333333	2	0.104379860826852	0.173192771084337	0	0.5	0.620545554969747	0.221515116244947	0.989010989010989	0
"Ghanaian Coast 1501 1701"	"Ghanaian Coast"	1501	1701	5618606.28100781	3.625	0.142857142857143	0	0.313003855590606	0.5	0.189393939393939	0.402339769285362	0.389010989010989	0.8
"Ghanaian Coast 1702 1895"	"Ghanaian Coast"	1702	1895	1090833.33333333	5	0.582490459905193	0.25	0.444444444444444	0.5	0.542335115864528	0.369524476595604	0.389010989010989	0.8
"Chuuk Islands 1775 1885"	"Chuuk Islands"	1775	1885	5561853.39358091	1.75	0	0	0.111111111111111	0.166666666666667	0	0.279543789297026	0.29398321850058	0.8
"Chuuk Islands 1886 1948"	"Chuuk Islands"	1886	1948	59911.8874269007	2.5	0.360625767307795	0.5	0.424114966701717	0.5	0.411764705882353	0.322096980786388	0.4	1
"Iceland 1262 1380"	"Iceland"	1262	1380	57750	3.75	0.571428571428571	0.5	0	0.5	0.765505299968704	0.562391703147564	0.6	1
"Iceland 930 1261"	"Iceland"	930	1261	45250	2	0.503482910164938	0.25	0	0.5	0.765505299968704	0.551920498959082	0.6	1
"Kachi Plain -1300 -551"	"Kachi Plain"	-1300	-551	630599.621916911	2.75510731251393	0.491812852091609	0.173192771084337	0.946573004691086	0.398805156573499	0.196459793926294	0.573812193227808	0.668801845292891	0.614612247660222
"Kachi Plain -145 -96"	"Kachi Plain"	-145	-96	111878.220760234	3.4967008797654	0.789197195879224	1	0.911409142616905	0.807971823240166	0.712520616461904	0.766944048223146	0.4	0.8
"Kachi Plain -1800 -1301"	"Kachi Plain"	-1800	-1301	5562178.39358091	1	0.217768624450652	0	0.413082657797068	0.5	0.105523125280647	0.144259995323825	0.668801845292891	0.630032818187169
"Kachi Plain -2100 -1801"	"Kachi Plain"	-2100	-1801	5066714.99242423	1.875	0.503482910164938	0.553512707619297	0.831499023945463	0.436666666666667	0.711845440756957	0.278960133399393	0.98153435349697	0.705725125879477
"Kachi Plain -2500 -2101"	"Kachi Plain"	-2500	-2101	5066714.99242423	1.875	0.503482910164938	0.553512707619297	0.831499023945463	0.436666666666667	0.711845440756957	0.293619606065584	0.98153435349697	0.705725125879477
"Kachi Plain -303 -194"	"Kachi Plain"	-303	-194	7350000	5.25	0.714285714285714	0.84963768115942	1	0.77	0.882312910962361	0.788658838612525	0.8	0.8
"Kachi Plain -3200 -2501"	"Kachi Plain"	-3200	-2501	5562753.39358091	1.375	0.142857142857143	0	0.762986221762655	0.462138489906832	0.102439633819546	0.0830217875834747	0.668801845292891	0.705725125879477
"Kachi Plain -4000 -3201"	"Kachi Plain"	-4000	-3201	5562620.06024758	1.25	0.142857142857143	0	0.753849847132285	0.462138489906832	0.102439633819546	0.0830217875834747	0.668801845292891	0.705725125879477
"Kachi Plain -550 -329"	"Kachi Plain"	-550	-329	10066666.6666667	5.875	1	1	1	0.77	0.895424836601307	0.786247665187555	0.6	0.9
"Kachi Plain -5500 -4001"	"Kachi Plain"	-5500	-4001	5561970.06024758	1.125	0	0	0.774018530667305	0.462138489906832	0.102439633819546	0.0830217875834747	0.668801845292891	0.705725125879477
"Kachi Plain -7500 -5501"	"Kachi Plain"	-7500	-5501	5561970.06024758	1.125	0	0	0.662907419556194	0.462138489906832	0.102439633819546	0.0521151425406745	0.668801845292891	0.705725125879477
"Kachi Plain -95 21"	"Kachi Plain"	-95	21	268333.333333333	4.75	0.571428571428571	0.772830452243757	1	0.691810699588477	0.867145516172487	0.754499043120894	0.392523364485981	1
"Kachi Plain 1193 1206"	"Kachi Plain"	1193	1206	5338517.87985113	3.25	0.789197195879224	1	0.873685069797968	0.66644918949531	0.843518617455705	0.760637124526284	1	1
"Kachi Plain 1207 1339"	"Kachi Plain"	1207	1339	6088381.6590909	7	0.882515168229454	1	1	0.966796875	0.86135622249734	0.804867115028793	1	1
"Kachi Plain 1340 1519"	"Kachi Plain"	1340	1519	437107.554093567	2.75	0.399813941021778	0.733026942904387	0.844631480500669	0.807971823240166	0.761910959652984	0.804674380685567	1	1
"Kachi Plain 1526 1740"	"Kachi Plain"	1526	1740	44750000	4.5	0.969155844155844	1	0.97983131646498	0.800130208333333	0.890870503668621	0.868485503366528	1	1
"Kachi Plain 1748 1826"	"Kachi Plain"	1748	1826	5208351.21318447	3.5	0.428571428571429	0.25	0.433412135539795	0.966796875	0.786677720745711	0.825153601457266	1	1
"Kachi Plain 251 495"	"Kachi Plain"	251	495	2666666.66666667	6	0.428571428571429	0.75	0.988967691095351	0.732138489906832	0.801292785216307	0.778153221726462	0.992523364485981	1
"Kachi Plain 30 250"	"Kachi Plain"	30	250	5366666.66666667	4.25	0.714285714285714	0.733026942904387	0.867568675686757	0.77	0.796916590271923	0.785407078640352	0.389010989010989	0.8
"Kachi Plain 496 531"	"Kachi Plain"	496	531	9556802.8874269	3	0.714285714285714	0.553512707619297	0.863154571931006	0.77	0.865768553861533	0.772387236121082	0.567341991278292	0.8
"Kachi Plain 532 641"	"Kachi Plain"	532	641	4116666.66666667	6.125	0.714285714285714	0.75	0.931734018190036	0.736796875	0.880217411597324	0.786910389981061	0.992523364485981	1
"Kachi Plain 670 750"	"Kachi Plain"	670	750	12433333.3333333	4.125	0.857142857142857	0.25	1	0.77	0.895424836601307	0.773543509267382	1	1
"Kachi Plain 750 861"	"Kachi Plain"	750	861	7433333.33333333	5	0.714285714285714	0.5	1	0.77	0.941176470588235	0.781461100132507	1	1
"Kachi Plain 862 1192"	"Kachi Plain"	862	1192	437107.554093567	2.75	0.581148365909211	0.733026942904387	0.83359917159602	0.807971823240166	0.77055186597845	0.72878752512084	1	1
"Kansai -1200 -200"	"Kansai"	-1200	-200	573805.067823343	3.02469632636556	0.112012987012987	0	0.520524069759595	0.487282522828643	0.160977020065911	0.126510730824189	0.38153435349697	0.705725125879477
"Kansai -13600 -9200"	"Kansai"	-13600	-9200	5618606.28100781	3.39639720613096	0	0	0.343915488489587	0.487282522828643	0.115362984978191	0.0851063829787234	0.668801845292891	0.705725125879477
"Kansai -2500 -1200"	"Kansai"	-2500	-1200	573805.067823343	3.14969632636556	0	0	0.520524069759595	0.487282522828643	0.160977020065911	0.0638297872340426	0.38153435349697	0.705725125879477
"Kansai -300 249"	"Kansai"	-300	249	574671.73449001	1.75	0.397727272727273	0	0.65847891001974	0.570130208333333	0.265700727730795	0.527028433987855	0.668801845292891	0
"Kansai -3500 -2500"	"Kansai"	-3500	-2500	5561953.39358091	3.64639720613096	0	0	0.520524069759595	0.487282522828643	0.127486918521074	0.0851063829787234	0.38153435349697	0.705725125879477
"Kansai -5300 -3500"	"Kansai"	-5300	-3500	573805.067823343	3.52139720613096	0	0	0.520524069759595	0.487282522828643	0.115362984978191	0.0638297872340426	0.38153435349697	0.705725125879477
"Kansai -9200 -5300"	"Kansai"	-9200	-5300	5618606.28100781	3.52139720613096	0	0	0.509491760854945	0.487282522828643	0.115362984978191	0.0638297872340426	0.668801845292891	0.705725125879477
"Kansai 1185 1333"	"Kansai"	1185	1333	2115000	4.5	0.714285714285714	0.75	0.963683527885863	0.603333333333333	0.858842100909668	0.701480500962179	0.701459854014599	1
"Kansai 1336 1466"	"Kansai"	1336	1466	4278333.33333333	5	0.714285714285714	0.53068225537554	1	0.603333333333333	0.925969045584252	0.652932829063584	0.682994207511569	1
"Kansai 1467 1567"	"Kansai"	1467	1567	5018333.33333333	4.375	0.428571428571429	0.53068225537554	0.799928596746327	0.671107574588477	0.780345563492374	0.738387252079631	0.701459854014599	1
"Kansai 1568 1602"	"Kansai"	1568	1602	5865000	4.375	0.789197195879224	0.53068225537554	1	0.77	0.880217411597324	0.720822439390962	0.682994207511569	1
"Kansai 1603 1868"	"Kansai"	1603	1868	7621787	5.25	1	0.75	1	0.77	0.987876066457117	0.751892471803397	0.4	1
"Kansai 250 537"	"Kansai"	250	537	181802.887426901	3.125	0.71090053782266	0.453875026459877	0.88596418519971	0.570130208333333	0.701143801156064	0.639723130376677	0.389010989010989	0
"Kansai 538 710"	"Kansai"	538	710	848469.554093567	4.125	1	0.633389261744966	0.932321741238486	0.736796875	0.782214860646191	0.657219162129622	0.8	0.681686046511628
"Kansai 794 1184"	"Kansai"	794	1184	1858333.33333333	3.875	1	0.633389261744966	0.888888888888889	0.77	0.899396254305578	0.739537736866469	0.8	0.775692307692308
"Kapuasi Basin 1650 1841"	"Kapuasi Basin"	1650	1841	573596.73449001	1.25	0	0	0	0.166666666666667	0.130570409982175	0.406835716970363	0.890470843025588	0.7
